category	origin	source_path	line_numbers
absolute-path	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/codex_claude_conversation_md/claude_session_handoff_2026-06-13.md	11,12
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/codex_claude_conversation_md/claude_session_handoff_2026-06-13.md	15,17,173,209
absolute-path	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/codex_claude_conversation_md/codex_116_full_benchmark_run_status.md	162,174
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/codex_claude_conversation_md/codex_116_full_benchmark_run_status.md	3,161,173
absolute-path	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/codex_claude_conversation_md/codex_116_full_benchmark_run_status_long_run_5_7_days.md	116,127,139,151
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/codex_claude_conversation_md/codex_116_full_benchmark_run_status_long_run_5_7_days.md	116,126,138,150
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/codex_claude_conversation_md/codex_116_implementation_summary.md	212
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/codex_claude_conversation_md/codex_agree_disagree_136_claude_plan.md	30,104,196,208
absolute-path	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/codex_claude_conversation_md/codex_chat_handoff_phase116_future_tasks.md	11
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/codex_claude_conversation_md/codex_chat_handoff_phase116_future_tasks.md	189,288
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/codex_experiment_plan.md	94,95,98,99,191,563
absolute-path	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/next_chat_selected_algorithm_handoff.md	10,137,365
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/next_chat_selected_algorithm_handoff.md	138
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/stress_pomdp_116_continuous_successor_handoff.md	60,64,85,90,95
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/real_ecology_history/29_6_claude_runner_verification.md	13,24,38,49,50,60,76
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/real_ecology_history/29_6_codex_gpu_cpu_backend_audit.md	15,141,149,151,161,163,167,222,230
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/real_ecology_history/29_6_codex_gpu_cpu_backend_fixes.md	69,74
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/real_ecology_history/29_6_codex_real_ecology_experiment_and_scripts_plan.md	127,130,298,316,324,328,339,356,359,362,366,387,390,393,396,400
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/real_ecology_history/29_6_codex_response_to_claude_runner_verification.md	29
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/real_ecology_history/29_6_gpu_cpu_backend_implementation_plan.md	276,277,285,286,287
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/scripts/ricker_only_thread_entry.py	16,17,18
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/scripts/shard_manifest.py	8,15,16,17,58,60,63
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/scripts/slurm/capture_trajectories.sh	2,3,4,5,6,7,8,9,12,13,17
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/scripts/slurm/launch_cumulative_controls_12h_after_probe.sh	2,3,4,5,6,7,8,12,54,62,75
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/scripts/slurm/run_adapted_fit_row.sh	2,3,4,5,6,7,8,15,27,28,29
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/scripts/slurm/run_cumulative_controls_12h_aggregate.sh	2,3,4,5,6,7,8,12,18,19,20
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/scripts/slurm/run_cumulative_controls_12h_gate_row.sh	2,3,4,5,6,7,8,12,15,33,34,35
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/scripts/slurm/run_cumulative_controls_12h_gates.sh	2,3,4,5,6,7,8,12,19,20,21
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/scripts/slurm/run_cumulative_controls_12h_row.sh	2,3,4,5,6,7,8,12,16,22,23,24
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/scripts/slurm/run_gate_matrix.sh	2,3,4,5,6,7,8,9,13,17,18,19
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/scripts/slurm/run_manifest_row.sh	2,3,4,5,6,7,8,9,13,15,19,20,21
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/scripts/slurm/run_paper_faithful_row.sh	2,3,4,5,6,7,8,15,27,28,29
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/scripts/slurm/run_real_aggregate.sh	2,3,4,5,6,7,8,14,15,24,25,26
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/scripts/slurm/run_real_gate_row.sh	2,3,4,5,6,7,8,14,15,21,28,29,30
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/scripts/slurm/run_real_row.sh	2,3,4,5,6,7,8,14,15,21,33,34,35
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/scripts/slurm/run_real_row_gpu.sh	5,6,8,16,17,18,19,20,21,22,28,29,35,46,50,51,52
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/scripts/slurm/run_ricker_only_plus_cell.sh	9,12,13,14
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/scripts/slurm/run_ricker_only_plus_row.sh	9,18,19,20
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/scripts/slurm/submit_full.sh	10,11
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/tests/real/test_ricker_only_plus.py	308
cluster-assumption	GENERAL_FROZEN	/home/hphung/ce25_scratch2/general_rl_phase2_iso/real_ecology_runs/general_phase2e_full_sigma01_02_20260720_v1/code/scripts/general_adequacy_probe.py	228
cluster-assumption	GENERAL_FROZEN	/home/hphung/ce25_scratch2/general_rl_phase2_iso/real_ecology_runs/general_phase2e_full_sigma01_02_20260720_v1/code/scripts/general_thread_parity.py	32
cluster-assumption	GENERAL_FROZEN	/home/hphung/ce25_scratch2/general_rl_phase2_iso/real_ecology_runs/general_phase2e_full_sigma01_02_20260720_v1/code/scripts/prepare_general_phase2e_canary.py	64,65,66,67
cluster-assumption	GENERAL_FROZEN	/home/hphung/ce25_scratch2/general_rl_phase2_iso/real_ecology_runs/general_phase2e_full_sigma01_02_20260720_v1/code/scripts/shard_manifest.py	8,15,16,17,58,60,63
cluster-assumption	GENERAL_FROZEN	/home/hphung/ce25_scratch2/general_rl_phase2_iso/real_ecology_runs/general_phase2e_full_sigma01_02_20260720_v1/code/scripts/slurm/capture_trajectories.sh	2,3,4,5,6,7,8,9,12,13,17
cluster-assumption	GENERAL_FROZEN	/home/hphung/ce25_scratch2/general_rl_phase2_iso/real_ecology_runs/general_phase2e_full_sigma01_02_20260720_v1/code/scripts/slurm/launch_cumulative_controls_12h_after_probe.sh	2,3,4,5,6,7,8,12,54,62,75
cluster-assumption	GENERAL_FROZEN	/home/hphung/ce25_scratch2/general_rl_phase2_iso/real_ecology_runs/general_phase2e_full_sigma01_02_20260720_v1/code/scripts/slurm/run_adapted_fit_row.sh	2,3,4,5,6,7,8,15,27,28,29
cluster-assumption	GENERAL_FROZEN	/home/hphung/ce25_scratch2/general_rl_phase2_iso/real_ecology_runs/general_phase2e_full_sigma01_02_20260720_v1/code/scripts/slurm/run_cumulative_controls_12h_aggregate.sh	2,3,4,5,6,7,8,12,18,19,20
cluster-assumption	GENERAL_FROZEN	/home/hphung/ce25_scratch2/general_rl_phase2_iso/real_ecology_runs/general_phase2e_full_sigma01_02_20260720_v1/code/scripts/slurm/run_cumulative_controls_12h_gate_row.sh	2,3,4,5,6,7,8,12,15,33,34,35
cluster-assumption	GENERAL_FROZEN	/home/hphung/ce25_scratch2/general_rl_phase2_iso/real_ecology_runs/general_phase2e_full_sigma01_02_20260720_v1/code/scripts/slurm/run_cumulative_controls_12h_gates.sh	2,3,4,5,6,7,8,12,19,20,21
cluster-assumption	GENERAL_FROZEN	/home/hphung/ce25_scratch2/general_rl_phase2_iso/real_ecology_runs/general_phase2e_full_sigma01_02_20260720_v1/code/scripts/slurm/run_cumulative_controls_12h_row.sh	2,3,4,5,6,7,8,12,16,22,23,24
cluster-assumption	GENERAL_FROZEN	/home/hphung/ce25_scratch2/general_rl_phase2_iso/real_ecology_runs/general_phase2e_full_sigma01_02_20260720_v1/code/scripts/slurm/run_gate_matrix.sh	2,3,4,5,6,7,8,9,13,17,18,19
cluster-assumption	GENERAL_FROZEN	/home/hphung/ce25_scratch2/general_rl_phase2_iso/real_ecology_runs/general_phase2e_full_sigma01_02_20260720_v1/code/scripts/slurm/run_manifest_row.sh	2,3,4,5,6,7,8,9,13,15,19,20,21
cluster-assumption	GENERAL_FROZEN	/home/hphung/ce25_scratch2/general_rl_phase2_iso/real_ecology_runs/general_phase2e_full_sigma01_02_20260720_v1/code/scripts/slurm/run_paper_faithful_row.sh	2,3,4,5,6,7,8,15,27,28,29
cluster-assumption	GENERAL_FROZEN	/home/hphung/ce25_scratch2/general_rl_phase2_iso/real_ecology_runs/general_phase2e_full_sigma01_02_20260720_v1/code/scripts/slurm/run_real_aggregate.sh	2,3,4,5,6,7,8,14,15,24,25,26
cluster-assumption	GENERAL_FROZEN	/home/hphung/ce25_scratch2/general_rl_phase2_iso/real_ecology_runs/general_phase2e_full_sigma01_02_20260720_v1/code/scripts/slurm/run_real_gate_row.sh	2,3,4,5,6,7,8,14,15,21,28,29,30
cluster-assumption	GENERAL_FROZEN	/home/hphung/ce25_scratch2/general_rl_phase2_iso/real_ecology_runs/general_phase2e_full_sigma01_02_20260720_v1/code/scripts/slurm/run_real_row.sh	2,3,4,5,6,7,8,14,15,21,33,34,35
cluster-assumption	GENERAL_FROZEN	/home/hphung/ce25_scratch2/general_rl_phase2_iso/real_ecology_runs/general_phase2e_full_sigma01_02_20260720_v1/code/scripts/slurm/run_real_row_gpu.sh	5,6,8,16,17,18,19,20,21,22,28,29,35,46,50,51,52
cluster-assumption	GENERAL_FROZEN	/home/hphung/ce25_scratch2/general_rl_phase2_iso/real_ecology_runs/general_phase2e_full_sigma01_02_20260720_v1/code/scripts/slurm/submit_full.sh	10,11
cluster-assumption	GENERAL_FROZEN	/home/hphung/ce25_scratch2/general_rl_phase2_iso/real_ecology_runs/general_phase2e_full_sigma01_02_20260720_v1/code/src/real_ecology_benchmark/general_canary_acceptance.py	137
cluster-assumption	GENERAL_FROZEN	/home/hphung/ce25_scratch2/general_rl_phase2_iso/real_ecology_runs/general_phase2e_full_sigma01_02_20260720_v1/code/tests/real/test_general_phase2e_canary.py	90,91,92,147
absolute-path	MAIN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/docs/MATCHED_GENERAL_ECOLOGICAL_RESULTS.md	99,200,376
cluster-assumption	MAIN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/docs/MATCHED_GENERAL_ECOLOGICAL_RESULTS.md	286,700
absolute-path	MAIN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/docs/THREE_SPECIES_MATCHED_GENERAL_AND_ECOLOGICAL_RESULTS.tex	918,920,922,924,926
absolute-path	MAIN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/docs/benchmark/SERVER_HANDOFF_hidden_rk_experiment_setting.md	8
cluster-assumption	MAIN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/docs/benchmark/SERVER_PLAN_general_method_audit.md	279
cluster-assumption	MAIN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/docs/benchmark/SERVER_PLAN_motivation_native_run.md	47,133,134,135,136,138,189
absolute-path	MAIN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/docs/benchmark/SERVER_STATUS_motivation_native_launch_readiness.md	29,73
cluster-assumption	MAIN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/docs/benchmark/SERVER_STATUS_motivation_native_launch_readiness.md	23,77
cluster-assumption	MAIN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/docs/benchmark/hide_r_k/SERVER_RUN_AUDIT_HANDOFF_hidden_rK_20260716.md	52,56,60,69,113
absolute-path	MAIN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/docs/check_code_up_to_25_7/CHAT_HANDOFF_THREE_SPECIES_MATCHED_P10_ECOLOGICAL_BASELINES.md	95
cluster-assumption	MAIN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/docs/check_code_up_to_25_7/DIAGNOSTIC_REPLAY_RERUN_SPEC.md	93
cluster-assumption	MAIN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/docs/check_code_up_to_25_7/GENERAL_RL_CURRENT_IMPLEMENTATION_AND_SETTINGS.md	27
cluster-assumption	MAIN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/docs/claude_build_report/EXPERIMENT_REPORT.md	5,101,115
cluster-assumption	MAIN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/docs/claude_build_report/latex/main.tex	25,220,249
cluster-assumption	MAIN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/docs/fix_implement_ecology_baseline/CODE_SERVER_FINISH_ECOLOGICAL_BASELINE_RESULTS_FOR_FAIR_TABLE.md	30
absolute-path	MAIN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/docs/fix_implement_ecology_baseline/PHASE1_AUDIT_REPORT_paper_aligned_plus_moor.md	20
cluster-assumption	MAIN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/docs/fix_implement_ecology_baseline/PHASE2_32CELL_EXECUTION_SCHEDULE.md	49,55,61,98,152
cluster-assumption	MAIN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/docs/fix_implement_ecology_baseline/archive/CLAUDE_AUDIT_CORRECTED_PLUS_MOOR_IMPLEMENTATION.md	62
cluster-assumption	MAIN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/docs/fix_implement_ecology_baseline/archive/CLAUDE_AUDIT_CORRECTED_PLUS_MOOR_PLAN.md	21
