cell_id,method,source_method,rows,episodes,steps_per_episode,scalar_fields,vector_fields,missing_registered_scalar_fields
A6_egyptian_vulture_ricker_s0p1,moor,moor_adapted_ricker_misspec_pbvi,1000,20,50,"action_t,allee_C_episode,argmax,belief_entropy,belief_mean,cost_t,k_t,m_t,margin_top1_top2,obs_t,oracle_action,penalty_flag_t,r_mort_t,r_pos_t,r_setpoint_t,regime_switched_t,regime_z_t,reward_t,seed,surrogate_reward_t,t,theta_exponent_episode,true_margin_top1_top2,utility_t,x_true_next,x_true_t","q,true_reward_all_actions,x_next_all",-
A6_egyptian_vulture_ricker_s0p1,plus,plus_adapted_ricker_only_pbvi,1000,20,50,"action_t,allee_C_episode,argmax_map_only,argmax_uniform,argmax_weighted,argmax_weighted_matches_deployed,cost_t,k_t,m_t,margin_top1_top2,obs_t,oracle_action,penalty_flag_t,r_mort_t,r_pos_t,r_setpoint_t,regime_switched_t,regime_z_t,reward_t,seed,surrogate_reward_t,t,theta_exponent_episode,true_margin_top1_top2,utility_t,x_true_next,x_true_t","argmax_cand,belief_entropy,belief_mean,q_cand,q_weighted,true_reward_all_actions,w,x_next_all",-
B1_crab_eating_fox_regime_s0p2,bamcts,bamcts,1000,20,50,"action_t,cost_t,max_depth,obs_t,reward_t,seed,t,tree_nodes,tree_nodes_trace,unsafe_next,x_true_next,x_true_t","root_model_belief,root_q,root_visit_counts","utility_t,penalty_flag_t,r_setpoint_t,r_pos_t,r_mort_t,k_t,m_t,regime_z_t,regime_switched_t,allee_C_episode,theta_exponent_episode,surrogate_reward_t"
B1_crab_eating_fox_regime_s0p2,evd,ensemble_value_disagreement_pessimism,1000,20,50,"action_t,argmax_lambda0,argmax_pessimistic,cost_t,obs_t,reward_t,seed,t,unsafe_next,x_true_next,x_true_t","pessimistic_q_score,q_ensemble_mean,q_ensemble_variance","utility_t,penalty_flag_t,r_setpoint_t,r_pos_t,r_mort_t,k_t,m_t,regime_z_t,regime_switched_t,allee_C_episode,theta_exponent_episode,surrogate_reward_t"
B1_crab_eating_fox_regime_s0p2,ogsrl,ogsrl,1000,20,50,"action_t,behavior_normalized_cost,cost_horizon_used,cost_t,guardian_override,hard_fallback,lambda_ood,lambda_safety,low_abundance_scale,obs_t,ood_guardian_flag,ood_probability,predicted_C25,reward_t,safety_budget,safety_slack,seed,t,true_s_safe_evaluator_only,unsafe_next,x_true_next,x_true_t",action_probabilities,"utility_t,penalty_flag_t,r_setpoint_t,r_pos_t,r_mort_t,k_t,m_t,regime_z_t,regime_switched_t,allee_C_episode,theta_exponent_episode,surrogate_reward_t"
B1_crab_eating_fox_regime_s0p2,refplan,refplan,1000,20,50,"action_t,argmax_lambda0,belief_entropy,belief_mean,best_sequence_mean,best_sequence_reflected,best_sequence_return_sd,cost_t,model_entropy,obs_t,posterior_max,public_extinction_risk,reward_t,seed,t,unsafe_next,x_true_next,x_true_t","action_mean_lambda0,action_scores,member_returns,model_posterior","utility_t,penalty_flag_t,r_setpoint_t,r_pos_t,r_mort_t,k_t,m_t,regime_z_t,regime_switched_t,allee_C_episode,theta_exponent_episode,surrogate_reward_t"
B2_amur_tiger_ricker_s0p1,bamcts,bamcts,1000,20,50,"action_t,cost_t,max_depth,obs_t,reward_t,seed,t,tree_nodes,tree_nodes_trace,unsafe_next,x_true_next,x_true_t","root_model_belief,root_q,root_visit_counts","utility_t,penalty_flag_t,r_setpoint_t,r_pos_t,r_mort_t,k_t,m_t,regime_z_t,regime_switched_t,allee_C_episode,theta_exponent_episode,surrogate_reward_t"
B2_amur_tiger_ricker_s0p1,evd,ensemble_value_disagreement_pessimism,1000,20,50,"action_t,argmax_lambda0,argmax_pessimistic,cost_t,obs_t,reward_t,seed,t,unsafe_next,x_true_next,x_true_t","pessimistic_q_score,q_ensemble_mean,q_ensemble_variance","utility_t,penalty_flag_t,r_setpoint_t,r_pos_t,r_mort_t,k_t,m_t,regime_z_t,regime_switched_t,allee_C_episode,theta_exponent_episode,surrogate_reward_t"
B2_amur_tiger_ricker_s0p1,ogsrl,ogsrl,1000,20,50,"action_t,behavior_normalized_cost,cost_horizon_used,cost_t,guardian_override,hard_fallback,lambda_ood,lambda_safety,low_abundance_scale,obs_t,ood_guardian_flag,ood_probability,predicted_C25,reward_t,safety_budget,safety_slack,seed,t,true_s_safe_evaluator_only,unsafe_next,x_true_next,x_true_t",action_probabilities,"utility_t,penalty_flag_t,r_setpoint_t,r_pos_t,r_mort_t,k_t,m_t,regime_z_t,regime_switched_t,allee_C_episode,theta_exponent_episode,surrogate_reward_t"
B2_amur_tiger_ricker_s0p1,refplan,refplan,1000,20,50,"action_t,argmax_lambda0,belief_entropy,belief_mean,best_sequence_mean,best_sequence_reflected,best_sequence_return_sd,cost_t,model_entropy,obs_t,posterior_max,public_extinction_risk,reward_t,seed,t,unsafe_next,x_true_next,x_true_t","action_mean_lambda0,action_scores,member_returns,model_posterior","utility_t,penalty_flag_t,r_setpoint_t,r_pos_t,r_mort_t,k_t,m_t,regime_z_t,regime_switched_t,allee_C_episode,theta_exponent_episode,surrogate_reward_t"
B3_amur_tiger_allee_s0p2,bamcts,bamcts,1000,20,50,"action_t,cost_t,max_depth,obs_t,reward_t,seed,t,tree_nodes,tree_nodes_trace,unsafe_next,x_true_next,x_true_t","root_model_belief,root_q,root_visit_counts","utility_t,penalty_flag_t,r_setpoint_t,r_pos_t,r_mort_t,k_t,m_t,regime_z_t,regime_switched_t,allee_C_episode,theta_exponent_episode,surrogate_reward_t"
B3_amur_tiger_allee_s0p2,evd,ensemble_value_disagreement_pessimism,1000,20,50,"action_t,argmax_lambda0,argmax_pessimistic,cost_t,obs_t,reward_t,seed,t,unsafe_next,x_true_next,x_true_t","pessimistic_q_score,q_ensemble_mean,q_ensemble_variance","utility_t,penalty_flag_t,r_setpoint_t,r_pos_t,r_mort_t,k_t,m_t,regime_z_t,regime_switched_t,allee_C_episode,theta_exponent_episode,surrogate_reward_t"
B3_amur_tiger_allee_s0p2,ogsrl,ogsrl,1000,20,50,"action_t,behavior_normalized_cost,cost_horizon_used,cost_t,guardian_override,hard_fallback,lambda_ood,lambda_safety,low_abundance_scale,obs_t,ood_guardian_flag,ood_probability,predicted_C25,reward_t,safety_budget,safety_slack,seed,t,true_s_safe_evaluator_only,unsafe_next,x_true_next,x_true_t",action_probabilities,"utility_t,penalty_flag_t,r_setpoint_t,r_pos_t,r_mort_t,k_t,m_t,regime_z_t,regime_switched_t,allee_C_episode,theta_exponent_episode,surrogate_reward_t"
B3_amur_tiger_allee_s0p2,refplan,refplan,1000,20,50,"action_t,argmax_lambda0,belief_entropy,belief_mean,best_sequence_mean,best_sequence_reflected,best_sequence_return_sd,cost_t,model_entropy,obs_t,posterior_max,public_extinction_risk,reward_t,seed,t,unsafe_next,x_true_next,x_true_t","action_mean_lambda0,action_scores,member_returns,model_posterior","utility_t,penalty_flag_t,r_setpoint_t,r_pos_t,r_mort_t,k_t,m_t,regime_z_t,regime_switched_t,allee_C_episode,theta_exponent_episode,surrogate_reward_t"
